GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pc1-Alonso,pc1,RegistrApp,131,192,41,13,23,38,39,4,12,4
pc1-Alonso,pc1,Entities,9,0,0,0,3,0,2,0,2,0
